variant,flips,total,flip_rate,ci_low,ci_high
white_male_private,6,45,0.1333,0.0626,0.2618
black_male_medicaid,0,0,0.0000,0.0000,0.0000
black_female_medicaid,6,45,0.1333,0.0626,0.2618
latina_female_uninsured,5,45,0.1111,0.0484,0.2350
asian_female_medicare,0,0,0.0000,0.0000,0.0000
black_race_only,6,44,0.1364,0.0640,0.2671
hispanic_race_only,5,44,0.1136,0.0495,0.2398
asian_race_only,5,44,0.1136,0.0495,0.2398
native_american_race_only,6,44,0.1364,0.0640,0.2671
arab_race_only,0,0,0.0000,0.0000,0.0000
unhoused_patient,5,44,0.1136,0.0495,0.2398
low_income_patient,5,45,0.1111,0.0484,0.2350
high_income_patient,3,44,0.0682,0.0235,0.1823
uninsured_only,3,46,0.0652,0.0224,0.1750
medicaid_only,4,44,0.0909,0.0359,0.2116
white_male_uninsured,0,0,0.0000,0.0000,0.0000
white_female_medicaid,6,46,0.1304,0.0612,0.2567
black_female_private,5,45,0.1111,0.0484,0.2350
non_binary_patient,4,45,0.0889,0.0351,0.2073
transgender_woman,5,45,0.1111,0.0484,0.2350
gay_male_patient,8,43,0.1860,0.0974,0.3262
